Modell;Accuracy;Kappa
Arvore_Decisao;0.9551;0.7082
MLP_Classification; 0.9619;0.6963
SVM_Classification;0.9473; 0.5287
DeepMLP;0.9722;0.7922
LSTM;0.9722;0.7927
